tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2015-495,Dubai,Hard,32,A,2015-02-23,31,103819,2,NA,Roger Federer,R,185,SUI,33.5441478439,104925,1,NA,Novak Djokovic,R,188,SRB,27.7590691307,6-3 7-5,3,FALSE,84,12,1,79,51,41,11,11,7,7,1,2,62,39,27,12,10,0,2,2,9205,1,13045,2015,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2015-404,Indian Wells Masters,Hard,96,M,2015-03-12,95,104925,1,NA,Novak Djokovic,R,188,SRB,27.7973990418,103819,2,NA,Roger Federer,R,185,SUI,33.582477755,6-3 6-7(5) 6-2,3,FALSE,138,8,5,101,61,47,21,15,8,10,6,3,98,57,41,15,14,8,13,1,13205,2,9205,2015,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2015-416,Rome Masters,Clay,56,M,2015-05-10,55,104925,1,NA,Novak Djokovic,R,188,SRB,27.9698836413,103819,2,NA,Roger Federer,R,185,SUI,33.7549623546,6-4 6-3,3,FALSE,76,5,1,53,38,32,10,10,1,1,7,1,62,39,30,8,9,3,5,1,13845,2,8645,2015,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2015-540,Wimbledon,Grass,128,G,2015-06-29,127,104925,1,NA,Novak Djokovic,R,188,SRB,28.1040383299,103819,2,NA,Roger Federer,R,185,SUI,33.8891170431,7-6(1) 6-7(10) 6-4 6-3,5,FALSE,176,13,1,145,95,70,30,21,6,7,14,3,141,94,70,23,22,6,10,1,13845,2,9665,2015,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2015-422,Cincinnati Masters,Hard,56,M,2015-08-16,55,103819,2,NA,Roger Federer,R,185,SUI,34.0232717317,104925,1,NA,Novak Djokovic,R,188,SRB,28.2381930185,7-6(1) 6-3,3,FALSE,90,7,2,61,35,29,19,11,0,0,5,4,79,47,33,15,10,7,8,3,8065,1,14265,2015,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2015-560,US Open,Hard,128,G,2015-08-31,127,104925,1,NA,Novak Djokovic,R,188,SRB,28.2765229295,103819,2,NA,Roger Federer,R,185,SUI,34.0616016427,6-4 5-7 6-4 6-4,5,FALSE,200,3,5,155,96,63,32,21,19,23,11,5,137,87,62,23,21,7,13,1,14865,2,9065,2015,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2015-747,Beijing,Hard,32,A,2015-10-05,31,104925,1,NA,Novak Djokovic,R,188,SRB,28.372347707,104745,3,NA,Rafael Nadal,L,185,ESP,29.3388090349,6-2 6-2,3,FALSE,91,7,0,57,47,33,5,8,2,2,0,1,48,34,19,5,8,1,5,1,15645,8,3770,2015,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2015-328,Basel,Hard,32,A,2015-10-26,31,103819,1,NA,Roger Federer,R,185,SUI,34.2149212868,104745,3,NA,Rafael Nadal,L,185,ESP,29.3963039014,6-3 5-7 6-3,3,FALSE,123,12,2,90,61,46,17,15,2,3,0,3,90,61,40,18,15,4,7,3,7930,7,4330,2015,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2015-605,Tour Finals,Hard,8,F,2015-11-15,515,104925,1,NA,Novak Djokovic,R,188,SRB,28.4873374401,103819,3,NA,Roger Federer,R,185,SUI,34.2724161533,6-3 6-4,3,FALSE,80,5,0,56,37,23,16,9,2,2,6,2,59,38,27,9,10,6,9,1,15285,3,7340,2015,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2016-0451,Doha,Hard,32,A,2016-01-04,300,104925,1,NA,Novak Djokovic,R,188,SRB,28.6214921287,104745,2,NA,Rafael Nadal,L,185,ESP,29.5879534565,6-1 6-2,3,FALSE,73,4,1,44,33,26,8,8,1,1,3,1,43,28,14,6,7,3,7,1,16585,5,5230,2016,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
